game,name,score,place,timeout
279,g8,23,3rd,no
279,g9,48,1st,no
280,g6,13,4th,no
280,g7,27,2nd,no
280,g8,21,3rd,no
280,g9,38,1st,no
283,g1,99,4th,no
283,g2,116,3rd,no
283,g4,151,1st,no
283,g6,134,2nd,no
287,g1,115,4th,no
287,g2,119,3rd,no
287,g4,126,2nd,no
287,g7,139,1st,no
290,g1,114,4th,no
290,g2,118,3rd,no
290,g6,126,2nd,no
290,g7,141,1st,no
293,g1,116,4th,no
293,g4,122,3rd,no
293,g6,128,2nd,no
293,g7,134,1st,no
294,g2,128,2nd,no
294,g4,100,4th,no
294,g6,113,3rd,no
294,g7,159,1st,no
295,g3,122,2nd,no
295,g4,120,3rd,no
295,g6,115,4th,no
295,g7,143,1st,no
297,g1,99,4th,no
297,g2,148,1st,no
297,g4,137,2nd,no
297,g8,115,3rd,no
300,g1,102,4th,no
300,g2,124,2nd,no
300,g6,157,1st,no
300,g8,117,3rd,no
303,g1,128,3rd,no
303,g4,73,4th,no
303,g6,149,2nd,no
303,g8,150,1st,no
304,g2,137,2nd,no
304,g4,104,4th,no
304,g6,121,3rd,no
304,g8,138,1st,no
305,g3,143,1st,no
305,g4,104,4th,no
305,g6,129,2nd,no
305,g8,123,3rd,no
306,g1,89,4th,no
306,g2,112,3rd,no
306,g7,172,1st,no
306,g8,126,2nd,no
309,g1,130,2nd,no
309,g4,108,4th,no
309,g7,138,1st,no
309,g8,124,3rd,no
310,g2,121,3rd,no
310,g4,101,4th,no
310,g7,145,1st,no
310,g8,132,2nd,no
311,g3,102,4th,no
311,g4,138,2nd,no
311,g7,146,1st,no
311,g8,113,3rd,no
312,g1,109,4th,no
312,g6,113,3rd,no
312,g7,140,1st,no
312,g8,137,2nd,no
313,g2,110,4th,no
313,g6,125,3rd,no
313,g7,137,1st,no
313,g8,128,2nd,no
314,g3,119,4th,no
314,g6,124,3rd,no
314,g7,125,2nd,no
314,g8,132,1st,no
315,g4,104,4th,no
315,g6,123,3rd,no
315,g7,145,1st,no
315,g8,128,2nd,no
317,g1,112,4th,no
317,g2,127,2nd,no
317,g4,119,3rd,no
317,g9,141,1st,no
320,g1,112,4th,no
320,g2,139,1st,no
320,g6,117,3rd,no
320,g9,131,2nd,no
323,g1,126,3rd,no
323,g4,128,2nd,no
323,g6,149,1st,no
323,g9,97,4th,no
324,g2,133,2nd,no
324,g4,109,4th,no
324,g6,120,3rd,no
324,g9,138,1st,no
325,g3,123,3rd,no
325,g4,72,4th,no
325,g6,165,1st,no
325,g9,139,2nd,no
326,g1,99,4th,no
326,g2,118,3rd,no
326,g7,149,1st,no
326,g9,133,2nd,no
329,g1,125,3rd,no
329,g4,83,4th,no
329,g7,156,1st,no
329,g9,135,2nd,no
330,g2,120,2nd,no
330,g4,72,4th,no
330,g7,196,1st,no
330,g9,111,3rd,no
331,g3,52,4th,no
331,g4,123,3rd,no
331,g7,134,2nd,no
331,g9,190,1st,no
332,g1,120,3rd,no
332,g6,136,1st,no
332,g7,128,2nd,no
332,g9,115,4th,no
333,g2,139,1st,no
333,g6,106,4th,no
333,g7,134,2nd,no
