game,name,score,place,timeout
1093,g1,44,1st,no
1093,g9,27,2nd,no
1093,g6,22,3rd,no
1093,g4,7,4th,no
1094,g9,36,1st,no
1094,g2,32,2nd,no
1094,g6,20,3rd,no
1094,g4,13,4th,no
1095,g3,39,1st,no
1095,g9,31,2nd,no
1095,g6,16,3rd,no
1095,g4,14,4th,no
1096,g1,58,1st,no
1096,g9,26,2nd,no
1096,g2,16,3rd,no
1096,g7,0,4th,no
1097,g9,31,1st,no
1097,g3,26,2nd,no
1097,g1,23,3rd,no
1097,g7,21,4th,no
1098,g7,29,1st,no
1098,g2,27,2nd,no
1098,g3,27,2nd,no
1098,g9,18,4th,no
1099,g4,32,1st,no
1099,g9,30,2nd,no
1099,g1,26,3rd,no
1099,g7,12,4th,no
1100,g9,36,1st,no
1100,g7,24,2nd,no
1100,g4,22,3rd,no
1100,g2,18,4th,no
1101,g9,37,1st,no
1101,g3,34,2nd,no
1101,g4,17,3rd,no
1101,g7,12,4th,no
1102,g9,35,1st,no
1102,g1,28,2nd,no
1102,g7,20,3rd,no
1102,g6,18,4th,no
1103,g2,34,1st,no
1103,g9,26,2nd,no
1103,g7,24,3rd,no
1103,g6,16,4th,no
1104,g9,31,1st,no
1104,g3,24,2nd,no
1104,g6,24,2nd,no
1104,g7,22,4th,no
1105,g7,29,1st,no
1105,g4,27,2nd,no
1105,g6,25,3rd,no
1105,g9,20,4th,no
1106,g9,29,1st,no
1106,g2,28,2nd,no
1106,g1,24,3rd,no
1106,g8,19,4th,no
1107,g1,30,1st,no
1107,g3,24,2nd,no
1107,g8,24,2nd,no
1107,g9,22,4th,no
1108,g9,34,1st,no
1108,g3,30,2nd,no
1108,g8,20,3rd,no
1108,g2,16,4th,no
1109,g1,34,1st,no
1109,g8,27,2nd,no
1109,g9,21,3rd,no
1109,g4,18,4th,no
1110,g8,43,1st,no
1110,g9,25,2nd,no
1110,g2,16,3rd,no
